split,file,white_ratio,n_cc,skel_px,endpoints,branchpoints
EASY,Ag_1e-8_007.tif,0.08337886072261072,163,11966,654,1087
EASY,Ag_1e-8_008.tif,0.08454176032301032,172,12625,660,1110
EASY,Ag_1e-8_009.tif,0.08668024683649683,162,12400,643,1095
EASY,Ag_1e-8_010.tif,0.05833814622877123,718,13389,1694,1094
EASY,Ag_1e-8_011.tif,0.08301464160839161,905,18901,2162,1699
EASY,Ag_1e-8_012.tif,0.06317380536130536,88,8269,380,743
EASY,Ag_1e-8_017.tif,0.04803854999167499,740,11807,1661,956
HARD,70nm_R_50nm_pitch_ETD_001.tif,0.08331512237762238,53,5061,208,332
HARD,70nm_R_50nm_pitch_ETD_002.tif,0.07464670745920746,210,10341,749,1062
HARD,70nm_R_50nm_pitch_ETD_003.tif,0.07324836621711622,237,14602,955,1543
HARD,70nm_R_50nm_pitch_ETD_004.tif,0.1700929279054279,204,22207,1177,2461
HARD,70nm_R_50nm_pitch_ETD_005.tif,0.056677697302697304,80,6713,339,588
HARD,70nm_R_50nm_pitch_ETD_006.tif,0.05420100732600733,82,6425,328,520
HARD,ETD_097.tif,0.16202612491674992,162,14129,610,924
