file,split,IoU,Dice,Precision,Recall
70nm_R_50nm_pitch_ETD_001,HARD,0.0029398794649419372,0.005862523816503005,0.003518029903254178,0.01757469244288225
70nm_R_50nm_pitch_ETD_003,HARD,0.07667934093789606,0.14243672748675693,0.109023560034706,0.2053812786823411
70nm_R_50nm_pitch_ETD_005,HARD,0.18237824014878531,0.30849390483680694,0.2715825003245489,0.35701689515899654
70nm_R_50nm_pitch_ETD_006,HARD,0.18808148373365766,0.31661377827822706,0.2784981091301999,0.3668168880455408
Ag_1e-8_008,EASY,0.1391436361383071,0.2442951559822667,0.2591833790217862,0.23102446050567144
Ag_1e-8_009,EASY,0.10822066080830689,0.19530525758177725,0.16630486876603423,0.2365561214259935
Ag_1e-8_010,EASY,0.039024119459324436,0.07511686924001602,0.05900373494481514,0.1033367631927091
Ag_1e-8_011,EASY,0.06447037368501038,0.12113136312441504,0.11184345431643085,0.13210158466542107
Ag_1e-8_012,EASY,0.11098639362663236,0.19979793499420911,0.157034397273009,0.2745682356925161
ETD_097,HARD,0.1281474820143885,0.2271821442805899,0.17138991204991355,0.33682966464765846
70nm_R_50nm_pitch_ETD_004,HARD,0.13882273890574204,0.24380043383947939,0.20184184816964543,0.3077816238005521
Ag_1e-8_017,EASY,0.03399520501629065,0.0657550535077289,0.05593203196116112,0.07976345016587336
70nm_R_50nm_pitch_ETD_002,HARD,0.05599304695936159,0.1060481356777653,0.06949074982022618,0.2237659193769077
Ag_1e-8_007,EASY,0.13034956556880178,0.23063584848322338,0.18876371616678858,0.2963796747220436
